Checked,Status,id,label,Alternate title,Corporate Name,Personal Name,Place of Publication or Production,Publisher Name,Date of Publication or Production,Extent,Dimensions,Language,Notes,Narrative Summary,Keyword,Subject,Genre,Format,Rights Statement,Library Call Number,Link,Identifier
TRUE,,CSL00059,Chicano Librarians Workshop,Amoxcalli,Reforma (Association). El Paso Chapter,"Caballero, Cesar","El Paso, Texas",,1978,1 page,8.5 x 11 inches,English,"Excerpt from an issue of the ""Amoxcalli"" newsletter of the El Paso Chapter of Reforma.","An article titled ""Chicano Librarians Workshop"" by Cesar Caballero, extracted from ""Amoxcalli."" The article describes a series of events, including a workshop titled ""Computer Based Reference Workshop"" that was sponsored by the Chicano Periodical Indexing Project, and held in Los Angeles, California, July 24-25, 1978, along with a round-table on accessibility of Chicano serials and a business meeting for the Chicano Periodical Indexing Project, held in Berkeley, California, July 27-28, 1978.",Workshops|Chicano Periodical Index,Chicano Periodical Indexing Project|Chicano librarians,Newsletters,text|extract,,,,
TRUE,,CSL00060,"Letter from Norma Radin, University of Michigan, to Richard Chabrán, January 10, 1978",,University of Michigan. School of Social Work,"Radin, Norma, 1926-1998|Chabrán, Richard","Ann Arbor, Michigan",,1978,1 page,8.5 x 11 inches,English,,"Letter from Norma Radin, professor at the University of Michigan School of Social Work, to Richard Chabrán, dated January 10, 1978, expressing interest in purchasing a subscription to the Chicano Periodical Index.",Chicano Periodical Index,Chicano Periodical Indexing Project,Letters,text,,,,
TRUE,,CSL00061,"Letter from Fausto Fernández Ponte, Excélsior Newspaper, to Richard Chabrán, October 16, 1978",,"Excélsior (Mexico City, Mexico)","Fernández Ponte, Fausto, 1936-2010|Chabrán, Richard","Washington, D.C.",,1978,1 page,8.5 x 11 inches,English,,"Letter from Fausto Fernández Ponte, correspondent for the Mexico City newspaper Excélsior, dated October 16, 1978, expressing interest in writing a feature story about the Chicano Periodical Index.",Chicano Periodical Index,Chicano Periodical Indexing Project,Letters,text,,,,
TRUE,"This is also page 1 in the full grant, CSL00064, so maybe a partial duplicate",CSL00062,Chicano Periodical Project Index Grant Proposal Cover Page,,"University of California, Berkeley|National Endowment for the Humanities","Trujillo, Larry, 1946-|Manza, August G., 1931-2022","Berkeley, California",,1978,1 page,8.5 x 11 inches,English,,"Cover page for grant proposal to the National Endowment for the Humanities, for the Chicano Periodical Indexing Project",Chicano Periodical Index,Chicano Periodical Indexing Project,Proposals,text|extract,,,,
TRUE,,CSL00063,Chicano Periodical Index Letter of Intent,CPI Letter of Intent,"University of California, Berkeley",,"Berkeley, California",,1981,1 page,8.5 x 11 inches,English,,Blank form for registration of volunteer indexers for the Chicano Periodical Indexing Project.,Chicano Periodical Index,Chicano Periodical Indexing Project,Blank forms,text,,,,
TRUE,Will be redacted; description may need to be updated,CSL00064,Chicano Periodical Indexing Project Grant Proposal to National Endowment for the Humanities Research Materials Programs -Tools ,,"University of California, Berkeley|National Endowment for the Humanities","Trujillo, Larry, 1946-|Manza, August G., 1931-2022","Berkeley, California",,1978,66 pages,8.5 x 11 inches,English,,"Full grant proposal to the National Endowment for the Humanities, for the Chicano Periodical Indexing Project",Proposals,Chicano Periodical Indexing Project,Proposals,text,,,,
TRUE,See also CSL00035 (2003 draft),CSL00065,Chicano Periodical Index Processing Manual,,"University of California, Berkeley. Chicano Studies Library","Chabrán, Richard","Berkeley, California",,1978?,11 pages,8.5 x 11 inches,English,,"A processing manual for the Chicano Periodical Index, compiled by Richard Chabrán.",Chicano Periodical Index,Chicano Periodical Indexing Project,Procedures (Documents),text,,,,
TRUE,,CSL00066,Chicano Periodical Index Launch Press Release,,"University of California, Berkeley. Chicano Studies Library|Aztlán Publications (University of California, Los Angeles. Chicano Studies Center)","Chabrán, Richard|Gómez-Quiñones, Juan","Berkeley, California",,1978,4 pages,8.5 x 11 inches,English,,"Press release for the Chicano Periodical Indexing Project, along with a cover letter inviting Aztlán Publications to donate a set or subscription to Aztlán for the project. It bears receipt stamps of Aztlán Publications and a routing slip initialed JGQ.",Chicano Periodical Index,Chicano Periodical Indexing Project,Press releases,text,,,,
TRUE,,CSL00067,"G.K. Hall Publicity Mailer for Chicano Periodical Index, 1979-1981","New from G.K. Hall: Chicano Periodical Index, 1979-1981",G.K. Hall & Company,,"Boston, Massachusetts",G.K. Hall & Company,1981?,4 pages,8.5 x 11 inches,English,,"Mail brochure for the Chicano Periodical Index, from publisher G.K. Hall and Company. Includes a description of the index and ordering information.",Chicano Periodical Index,Chicano Periodical Indexing Project,Advertisements,text,,,,
TRUE,,CSL00068,"Chicano Periodical Indexing Project, General Meeting Minutes",,"University of California, Berkeley. Chicano Studies Library|University of Texas at El Paso. Library. Chicano Services Section|University of California, Santa Barbara. Library. Colección Tloque Nahuaque
","Chabrán, Richard|Caballero, Cesar|Baeza, Gilda|Quintana, Helena|Trujillo, Roberto G., 1951-|Urzúa, Roberto
","El Paso, Texas",,1978,4 pages,8.5 x 11 inches,English,,"Minutes from a general meeting of Chicano Periodical Indexing Project participants, held at the University of Texas at El Paso, possibly in early 1978. It was chaired by Richard Chabrán, with attendees Gilda Baeza (UNM), Cesar Caballero (UTEP), Helena Quintana (NMHU), Roberto Trujillo (UCSB), and Roberto Urzúa (UTA)",Chicano Periodical Index,Chicano Periodical Indexing Project,Meeting minutes,text,,,,
TRUE,See also CSL00057 (earlier draft),CSL00069,Chicano Information management Consortium of CA,,"University of California, Berkeley. Chicano Studies Library|University of California, Santa Barbara. Library. Colección Tloque Nahuaque|University of California, Los Angeles. Chicano Research Library
","Castillo-Speed, Lillian|Chabrán, Richard|Güereña, Salvador",California,,1986?,4 pages,8.5 x 11 inches,English,,"A description of the Chicano Information Management Consortium, a network between Chicano Studies Library of U.C. Berkeley, the Colección Tloque Nahuaque of U.C. Santa Barbara, and the Chicano Research Library of U.C.L.A.",Networks,Chicano Information Management Consortium of California|Chicano studies,,text,,,,
TRUE,,CSL00070,Entry Card from old Serials Catalog Drawer,,"University of California, Berkeley. Chicano Studies Library",,"Berkeley, California",,between 1977 and 1981?,1 page,3 x 5 inches,English,,Card catalog for El Boletín de Chicano Studies.,Serials|Access tools,"University of California, Berkeley. Chicano Studies Library",Catalog cards,text,,,,
TRUE,,CSL00071,Sample Serials Check In Card,,"University of California, Berkeley. Chicano Studies Library",,,,1976-1979?,2 pages,8 x 5 inches,English,,"Serials Checkin Card for Trabajadores de la Raza, showing an entry date of 1976 and on the reverse, the holdings from 1969-1979.",Serials|Access tools,"University of California, Berkeley. Chicano Studies Library",Catalog cards,text,,,,
TRUE,,CSL00072,"Voz de La A.B.C., Volume 1, Number 4, May 1976",Noticias de la A.B.C.,Asociación de Bibliotecas Chicanas,,"Berkeley, California",Asociación de Bibliotecas Chicanas,1976,4 pages,8.5 x 11 inches,English,,"Volume 1, Number 4, May 1976 issue of the ""Voz de la A.B.C."" Newsletter from the Asociación de Bibliotecas Chicanas. ",Networks,Asociación de Bibliotecas Chicanas|Chicano libraries|Chicano librarians,Newsletters,text,,,,
TRUE,,CSL00073,Posters from the Chicano Studies Library Collection,CSL Collection Posters,"Movimiento Estudiantil Chicano de Aztlán (Berkeley, Calif.)",,California,,1968-1980?,6 posters,9 x 11 inches,Spanish|English,,"A collection of six posters, most of which advertise events. Includes: a dance and festival in Richmond, California; a benefit dance at Casa Joaquin Murieta, Berkeley; a Latin-American women's song and poetry event in Oakland and Berkeley; a farmworkers' benefit at APUMEC Hall in Oakland; an image of the Virgen de Guadalupe; a MECHA/AFL-CIO grape boycott demonstration in Coachella, in support of farmworkers. Years are not given but estimated between 1968 and 1980.",History|MEChA,"Chicano students|University of California, Berkeley|Chicano culture",Posters|Advertisements,image,,,,
TRUE,,CSL00074,Biblio-Política: Chicano Perspectives on Library Service in the United States (cover and title page),Bibliopolítica,,"García-Ayvens, Francisco, 1948-2018|Chabrán, Richard","Berkeley, California",Chicano Studies Library Publications Unit,1984,2 pages,9 x 6 inches,English,Cover and title page only.,"Cover and title page from Biblio-Política: Chicano Perspectives on Library Service in the United States, edited by Francisco García-Ayvens and Richard Chabrán, 1984.",Publications,Chicano studies libraries|Library science,,publication|extract|text,,Z716 .B5,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991065203259706532,
TRUE,,CSL00075,Apuntes de Padilla: A Chicano Prototype for Bibliographic Research,Los Apuntes de Padilla|Biblio-Política,,"García-Ayvens, Francisco, 1948-2018","Berkeley, California",Chicano Studies Library Publications Unit,1984,10 pages,9 x 6 inches,English,"Extract from Biblio-Política, pages 45-54","A discussion of Raymond V. Padilla's ""Apuntes para la documentación de la cultura chicana"" from ""El Grito,"" Winter 1971-1972, and considers a framework for Chicano bibliography.",,"Chicano studies|Chicano bibliography|Padilla, Raymond V.",,publication|extract|text,,,,
TRUE,,CSL00076,Notes on the History and Future of Major Academic Chicano Libraries,Biblio-Política,,"Chabrán, Richard","Berkeley, California",Chicano Studies Library Publications Unit,1984,18 pages,9 x 6 inches,English,"Extract from Biblio-Política, pages 89-106","A history of Chicano studies libraries at universities in the United States, with detailed descriptions of the history and collections of major Chicano studies libraries in California, Arizona, and Texas.",History,Chicano studies libraries,,publication|extract|text,,,,
TRUE,,CSL00077,Usefulness of the Chicano Thesaurus for Indexing Chicano Materials,The Usefulness of the Chicano Thesaurus for Indexing Chicano Materials|Biblio-Política,,"Castillo-Speed, Lillian","Berkeley, California",Chicano Studies Library Publications Unit,1984,10 pages,9 x 6 inches,English,"Extract from Biblio-Política, pages 169-178",A description of the Chicano Thesaurus and its usefulness for indexing Chicano materials. ,Thesaurus|Access tools,Chicano thesaurus,,publication|extract|text,,,,
TRUE,,CSL00078,Bibliography of Criticism of Contemporary Chicano Literature (front and back covers),A Bibliography of Criticism of Contemporary Chicano Literature (front and back covers),,"Eger, Ernestina N., 1942-","Berkeley, California",Chicano Studies Library Publications Unit,1982,2 pages,9 x 6 inches,English,Covers only,"Cover of ""A Bibliography of Criticism of Chicano Literature"" by Ernestina Eger, 1982.",Publications,Chicano literature,Bibliographies,publication|extract|text,,Z6511 .E4,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991006279469706532,
TRUE,,CSL00079,Bibliography of Criticism of Contemporary Chicano Literature (title page),A Bibliography of Criticism of Contemporary Chicano Literature (title page),,"Eger, Ernestina N., 1942-","Berkeley, California",Chicano Studies Library Publications Unit,1982,1 page,9 x 6 inches,English,Title page only,"Title page of ""A Bibliography of Criticism of Chicano Literature"" by Ernestina Eger, 1982.",Publications,Chicano literature,Bibliographies,publication|extract|text,,Z6511 .E4,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991006279469706532,
TRUE,,CSL00080,"""Chicano library thriving"" article in Oakland Tribune, April 16, 1978",,,"Gonzalez, Louie","Oakland, California",Oakland Tribune,1978,1 page,7.5 x 13.5 inches,English,,"An article titled ""Chicano Library Thriving"" by staff writer Louie Gonzalez, in the Oakland Tribune, April 16. 1978. The article describes the Chicano Studies Library, and includes a photograph and quotes from Richard Chabrán.",Acknowledgements,"University of California, Berkeley. Chicano Studies Library|Chabrán, Richard",Newspapers,publication|extract|text,,,,
TRUE,,CSL00081,Occupied America: A History of Chicanos (title page and preface),,,"Acuña, Rodolfo",New York,Harper and Row,1981,2 pages,8.5 x 11 inches,English,Second edition. Title page and preface only.,"Preface from the volume, acknowledging the Chicano Studies Libraries at U.C. Berkeley and at U.C.L.A., among other collections",Acknowledgements,Chicano history,,publication|extract|text,,HN3.Ac93 Oc1 1981,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991002061179706532,
TRUE,,CSL00082,"Letter from Hariette Surovell, MALDEF, to Richard Chabrán, April 13, 1978",,Mexican American Legal Defense and Educational Fund,"Surovell, Hariette|Chabrán, Richard","San Francisco, California",,1978,1 page,8.5 x 11 inches,English,,"A letter from Hariette Surovell, of the Mexican American Legal Defense and Educational Fund (MALDEF), to Richard Chabrán, April 13, 1978, thanking the library for its assistance with a MALDEF research project.",Acknowledgements,"University of California, Berkeley. Chicano Studies Library",Letters,text,,,,
TRUE,,CSL00083,"Letter from Barbara Boyd, Alameda County librarian, to Francisco García-Ayvens, May 12, 1980",,Alameda County Library System,"Boyd, Barbara Gray|Elmore, Faye|García-Ayvens, Francisco, 1948-2018","Hayward, California",,1980,1 page,8.5 x 11 inches,English,,"A letter from Barbara Boyd, Alameda County librarian, to Francisco García-Ayvens, May 12, 1980, thanking him for loaning a copy of the Chicano Thesaurus, and its usefulness in organizing the library.",Acknowledgements,Chicano thesaurus,Letters,text,,,,
TRUE,,CSL00084,Chicano Database and the CD-ROM Experience,The Chicano Database and the CD-ROM Experience|CD-ROM for Technical Services: A Panel Discussion|CD-ROM in the Library: Today and Tomorrow,"University of California, Berkeley. School of Library and Information Studies|University of California, Berkeley. University Extension","Castillo-Speed, Lillian|Duggan, Mary Kay, 1938-
","Boston, Massachusetts",G.K. Hall & Company,1990,6 pages,8.5 x 11 inches,English,Includes title page and table of contents,"Transcript of a talk by Lillian Castillo-Speed titled ""The Chicano Database and the CD-ROM Experience"" as part of a panel discussion titled ""CD-ROM for Technical Services."" Extracted from the full volume of proceedings from the conference ""CD-ROM in the Library: Today and Tomorrow"" hosted by U.C. Berkeley Extension and School of Library and Information Studies, 1990.",Technologies,CD-ROMs,Conference papers and proceedings,text|publication|extract,,Z681.3.O67 C28 1990,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991074576529706532,
TRUE,,CSL00085,"Letter from James P. Danky to Francisco García-Ayvens, March 5, 1984",,State Historical Society of Wisconsin. Library,"Danky, James Philip, 1947-|García-Ayvens, Francisco, 1948-2018","Madison, Wisconsin",,1984,1 page,8.5 x 11 inches,English,,"A letter to Francisco García-Ayvens from James Philip Danky, Newspapers and Periodicals Librarian of the State Historical Society of Wisconsin, congratulating Francisco (and Richard Chabrán) on the continuation of the Chicano Periodicals Indexing Project, and proposing an exchange of certain microform reels between the libraries.",Chicano Periodical Index|Acknowledgements,Chicano Periodical Indexing Project,Letters,text,,,,
TRUE,,CSL00086,Guide to the Chicano Database on CD-ROM,,,"Ritch, Alan","Santa Cruz, California",,1990,2 pages,8.5 x 11 inches,English,,"A guide to using the Chicano Database on CD-ROM, prepared by Alan Ritch, 1990.",Technologies,Chicano database,Procedures (Documents),text,,,,
TRUE,,CSL00087,"Letter from Cesar Caballero to Richard Chabrán, October 14, 1981",,,"Caballero, Cesar|Chabrán, Richard","El Paso, Texas",,1981,2 pages,8.5 x 11 inches,English,,"A letter to Richard Chabrán from Cesar Caballero, University of Texas at El Paso, October 14, 1981, enclosing a copy of a colloquium paper for publication in the proceedings, mentioning the use of the Chicano Periodicals Index by new librarian Juan Sandoval, and inquiring about the Chicano Organizations Directory.",Acknowledgements|Chicano Periodicals Index|Events,Chicano Periodical Indexing Project|Chicano libraries|Chicano librarians,Letters,text,,,,
TRUE,,CSL00088,"Memo from the Library and Research Committee to Mesa Directiva, February 7, 1977",,"University of California, Berkeley.Chicano Studies Library|University of California, Berkeley. Chicano Studies Program|Mesa Directiva|Library and Research Committee ",,"Berkeley, California",,1977,1 page,8.5 x 11 inches,English,,"A memorandum from the Library and Research Committee to the Mesa Directiva, February 7, 1977, regarding the relationship between the Chicano Studies Department and the Chicano Studies Library.",History,"University of California, Berkeley. Chicano Studies Library|University of California, Berkeley. Chicano Studies Program
",Letters,text,,,,
TRUE,,CSL00089,"Obreros: The Mexican Workers of el Paso, 1900-1920",,,"García, Mario T.","San Diego, California",,1975,2 pages,8.5 x 11 inches,English,,"Photocopy of cover and one page from Mario T. García's dissertation, referencing the Chicano Studies Library.",Acknowledgements,"University of California, Berkeley. Chicano Studies Library",Dissertations,text|extract,,HN50.T312.G165 Ob60,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991079118269706532,
TRUE,,CSL00090,"Anglos and Mexicans in the making of Texas, 1836-1986 (title page and preface)",,,"Montejano, David, 1948-","Austin, Texas",University of Texas Press,1987,3 pages,8.5 x 11 inches,English,First edition.,"Cover and page xii (Acknowledgements) only, acknowledging the Chicano Studies Library, and Richard Chabrán, among other libraries and librarians. ",Acknowledgements,,,text|extract|publication,,,,
TRUE,Duplicate CSL00012,CSL00091,"Letter from Wilma Salvatori Torri, September 10, 1974",,,"Torri, Wilma Salvatori","Torino, Italy",,1974,2 pages,8.5 x 11 inches,English,,"Letter of thanks from Wilma Salvatori Torri, an Italian student who used the Chicano Studies Library for her thesis research.",Acknowledgements,"University of California, Berkeley. Chicano Studies Library",Letters,text,,,,
TRUE,,CSL00092,Bibliography of Writings on La Mujer,,,"Portillo, Cristina, 1950-|Rios, Graciela, 1956-|Rodríguez, Martha, 1954-","Berkeley, California",Chicano Studies Library,1976,29 pages,,English,,"A bibliography of literature on Chicanas, compiled by Cristina Portillo, Graciela Rios, and Martha Rodríguez, 1976.",,Chicanas,Bibliographies,text|publication,,Z7961 .P78 1976,https://search.library.berkeley.edu/permalink/01UCS_BER/s4lks2/cdi_hathitrust_hathifiles_txu_059173018089596,ISBN: 0918520010
TRUE,,CSL00093,"Chicano Resource Journal and Service Handbook (Fall Quarter, 1972)",,"Movimiento Estudiantil Chicano de Aztlán (Berkeley, Calif.)","Cardona, Joseph","Berkeley, California",,1972,9 pages,,English,Dedicated to Malaquias Montoya,"Extract from the Fall 1972 of the ""Chicano Resource Journal and Service Handbook"" from the Movimiento Estudantil Chicano de Aztlán (MEChA), including cover, dedication, table of contents, and excerpts mentioning the Chicano Studies Library, and the Latin American Library in Oakland.",MEChA,"Movimiento Estudiantil Chicano de Aztlán (Berkeley, Calif.)|University of California, Berkeley. Chicano Studies Program|University of California, Berkeley. Chicano Studies Library|Montoya, Malaquias, 1938-|Latin American Library (Oakland, Calif.)
",Course catalogs,text,,LJ3 .C432,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991078501089706532,
TRUE,,CSL00094,Educación en Luz Symposium,,"Mujeres del Movimiento (Berkeley, Calif.)|International House (Berkeley, Calif.)",,"Berkeley, California",,1975,14 pages,,English,,"Agenda and speaker biographies for a symposium titled Education en Luz, sponsored by Mujeres del Movimiento and held at International House, Berkeley, California, May 17, 1975.",Events,Chicanas,Conference papers and proceedings,text,,LC3600.M896 Ed83,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991081574239706532,
TRUE,,CSL00095,Chicano Library Staff at UFW Headquarters in Kern County,,,"Rodríguez, Juan|Treviño, Oscar|Chabrán, Richard|Castro, Rafaela, 1943-","Kern County, California",,approximately 1976,1 photograph,,,,"Professor Juan Rodriguez, Library staff and librarian Rafaela Castro visiting UFW headquarters to discuss the UFW library archive. Pictured: (front, left to right) Oscar Treviño, Richard Chabrán, Rafaela Castro; (back, left to right) Juan Rodríguez, unknown UFW staff.",History,United Farm Workers,Photographs,image,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,CSL00096,"Chicano Library Staff in Work Room, 102 Wheeler Hall",,,"Gonzalez, John|Treviño, Oscar|Chabrán, Richard","Berkeley, California",,approximately 1976,1 photograph,,,,"Library staff taking a break, in the work room, 102 Wheeler Hall. Pictured: (background) John Gonzalez, Richard Chabrán; (foreground) Oscar Treviño.",History,"University of California, Berkeley. Chicano Studies Library",Photographs,image,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,CSL00097,At Front Desk in the Chicano Studies Library,,,"Carrillo, Julieta|Castillo-Speed, Lillian","Berkeley, California",,approximately 1993,1 photograph,,,,"Lillian Castillo-Speed and student workers stand at the front desk of the Chicano Studies Library. Pictured: Lillian Castillo-Speed, Julieta Carrillo, unknown student worker.",History,"University of California, Berkeley. Chicano Studies Library",Photographs,image,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,CSL00098,Memorial for Cesar Chavez,,,"Martinez, Adele","Berkeley, California",,1993,1 photograph,,,,"Students look at the memorial in honor of Cesar Chavez outside the Chicano Studies Library. Pictured: Adele Martinez, unknown.",History,"Chavez, Cesar, 1927-1993|University of California, Berkeley. Chicano Studies Library",Photographs,image,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,CSL00099,Birthday Celebration in the Chicano Studies Library,,,"Castillo-Speed, Lillian|Garza, Luis Alberto de la|Delgado, Carlos","Berkeley, California",,1994,1 photograph,,,,"Staff celebrate Lillian Castillo-Speed’s birthday in front of the stacks in the Chicano Studies library in 1994. Pictured: (left to right) Luis de la Garza, two unknown student staff, Lillian Castillo-Speed, Carlos Delgado.
",History,"Castillo-Speed, Lillian|University of California, Berkeley. Chicano Studies Library",Photographs,image,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,CSL00100,Día de los Muertos in the Chicano Studies Library,,,"Garza, Luis Alberto de la","Berkeley, California",,1994,1 photograph,,,,"Student celebrates Día de los Muertos in the Chicano Studies Library while another student studies. Pictured: Luis de la Garza, unknown student.",History,"Día de los Muertos|University of California, Berkeley. Chicano Studies Library",Photographs,image,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,CSL00101,Día de los Muertos Celebration at the Chicano Studies Library,,,"Trujillo, Larry, 1946-|Zapater, Marisol|Allen, Robert L., 1942-|Poon, Wei Chi","Berkeley, California",,1994,1 photograph,,,,"UC Berkeley community members attend a Día de los Muertos Celebration at the Chicano Studies Library. Pictured: Professor Larry Trujillo, Marisol Zapater (CSL Staff), Robert Allen (Ethnic Studies Professor), Wei Chi Poon (Asian American Studies Librarian), other unknown individuals.",History,"Día de los Muertos|University of California, Berkeley. Chicano Studies Library",Photographs,image,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,CSL00102,Lillian Castillo-Speed in Chicano Studies Office,,,"Castillo-Speed, Lillian","Berkeley, California",,1997,1 photograph,,,,"Lillian Castillo-Speed in one of the offices at the Chicano Studies Library, 104 Wheeler Hall. This room was where the Chicano Database was updated and maintained. The blackboard was where database planning was mapped out.",History,"University of California, Berkeley. Chicano Studies Library",Photographs,image,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,CSL00103,Lillian Castillo-Speed Packs the Office,,,"Castillo-Speed, Lillian","Berkeley, California",,1997,1 photograph,,,,Lillian Castillo-Speed packs up the office in the Chicano Studies Library in preparation for the move to the new Ethnic Studies Library.,History,"University of California, Berkeley. Chicano Studies Library",Photographs,image,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,CSL00104,Lillian Castillo-Speed Opening Remarks,,,"Castillo-Speed, Lillian|Wang, L. Ling-chi, 1938-","Berkeley, California",,1997,1 photograph,,,,"Lillian Castillo-Speed speaks at the Ethnic Studies Library opening celebration, July 18, 1997. Also pictured in the foreground: Ling-Chi Wang.",History|Events,"University of California, Berkeley. Ethnic Studies Library",Photographs,image,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,CSL00105,Opening of the Ethnic Studies Library,,,"Castillo-Speed, Lillian|Otani, Janice|Young, Mary L.|Poon, Wei Chi|Imazumi-Wong, Jeannie|Zapater, Marisol","Berkeley, California",,1997,1 photograph,,,,"Library staff stand before attendees at the Ethnic Studies Library opening celebration, July 18, 1997. Pictured: Lillian Castillo-Speed, Janice Otani (archivist), Mary Young (Native American Studies Librarian), Wei Chi Poon (Asian American Studies Librarian), Jeannie Imazumi (Library Assistant), Marisol Zapater (Library Assistant)
",History|Events,"University of California, Berkeley. Ethnic Studies Library",Photographs,image,"Ethnic Studies Library, UC Berkeley",,,
TRUE,,CSL00106,Boycott U.C. Dining Facilities Poster,,,,"Berkeley, California?",,1968?,1 poster,,English,,A poster for a boycott of University of California dining facilities.,,"University of California, Berkeley|Boycotts",Posters,image,,,,
TRUE,,CSL00107,Viet Nam/Aztlan Poster,Vietnam/Aztlán poster,Chicano Vietnam Project,"Montoya, Malaquias, 1938-","Berkeley, California",Chicano Vietnam Project,1973,1 poster,,Spanish|Vietnamese|Englilsh,,"A poster from the Chicano Vietnam Project, expressing unity and solidarity with Vietnam. The multicolor, bilingual poster reads: Viet Nam, Aztlan, Đoàn kết chiến thắng, Unidos venceran, Đoàn kết, Solidaridad, Chicano, Viet Nam, Fuera. The credits read: ©Chicano Vietnam Project, P.O. Box 331, Berkeley, Calif., 94701, Malaquias Montoya.",,"Chicano Vietnam Project|Vietnam War, 1961-1975|Peace movements|Chicano moratorium",Posters,image,,,,
TRUE,,CSL00108,Educación en Luz Symposium Poster,,"Mujeres del Movimiento (Berkeley, Calif.)|International House (Berkeley, Calif.)",,"Berkeley, California",,1975,1 poster,,English,,"Event poster for a symposium titled Education en Luz, sponsored by Mujeres del Movimiento and held at International House, Berkeley, California, May 17, 1975.",Events,Chicanas,Posters,image,,,,
